gene_symbol	s_het
MAP3K12	0.429361923
FBXW7	0.428597543
PAN3	0.428470161
SLC4A4	0.428217031
TLK1	0.427029209
DCAF5	0.426697729
STAT1	0.425968439
JMJD1C	0.425928612
ATP1A3	0.424257572
KCNH4	0.424039675
RREB1	0.423432185
FAM160B1	0.422553466
VCPIP1	0.42077335
BCOR	0.420401035
SCN1A	0.420278129
DYNC1H1	0.420020834
XRCC5	0.419857862
EZH2	0.418662053
CHERP	0.417121473
FXR1	0.416159043
NCSTN	0.416094351
ABCE1	0.414550225
MYH9	0.414194923
PPP1R9B	0.414158838
PCIF1	0.413536198
BTAF1	0.412630212
CASKIN2	0.412391195
EIF3B	0.412060769
LUC7L3	0.411924353
ZMYND11	0.411576632
PRR12	0.411560793
TM9SF4	0.41111713
LARP4B	0.411010411
ZNF462	0.410522401
WBP11	0.410020253
SUV420H1	0.409281994
ANKRD17	0.409029387
KAT7	0.408289162
GTPBP4	0.407939938
MFN2	0.406774678
ZDHHC5	0.40645869
ZMYM3	0.406225687
DCAF8	0.40534819
RBPJ	0.404920774
ACTN4	0.404806587
CDC42BPB	0.40342306
DNAJC11	0.402016753
TRIM28	0.401652704
EPHB2	0.400562676
GLTSCR1L	0.399122999
OGT	0.399060712
AP2A2	0.399031257
SERBP1	0.398792733
ZYG11B	0.39848209
RANBP9	0.398172851
ANK1	0.396736848
ARID5B	0.396513896
TAB2	0.395985384
FURIN	0.395814574
FUBP1	0.395493068
INTS5	0.394237683
DNAJC14	0.394061908
CHD1	0.392972628
CNOT3	0.392698327
EXT1	0.392629295
GNL1	0.392610287
ZRANB1	0.392441792
HNRNPM	0.392173804
TEX11	0.392073308
RBM10	0.391630325
NF2	0.391448612
DGCR8	0.391258291
NHS	0.391001323
PABPC1	0.390479763
TM9SF2	0.388687216
PRKD2	0.388440457
EPC2	0.387238439
SALL4	0.387165769
PHF21A	0.385871013
ZNF592	0.385116855
FUS	0.384441876
EFEMP1	0.38351889
ARID1A	0.383180603
ARCN1	0.382778993
LIN9	0.382680248
RPS6KA3	0.382203927
ZNF800	0.382092775
SNX27	0.381849247
ETV5	0.38176822
TNFAIP3	0.381270456
LRRC41	0.381081904
PRKCE	0.381007139
DPF2	0.380719492
PTPN6	0.380523569
WAC	0.378565497
TAF4	0.378311029
WEE1	0.37829276
DDX26B	0.378131202
GATAD2B	0.377546846
TFCP2L1	0.377527136
ASH1L	0.375950611
STRBP	0.375801374
CS	0.375740844
MARK4	0.375101101
ZCCHC11	0.374773928
PRKCB	0.374651548
GLYR1	0.374408424
PRR14L	0.373296923
SPTAN1	0.372496009
PDZD8	0.371971976
RBM25	0.371413985
USP7	0.371405321
HDAC6	0.370834381
COPS2	0.370136614
NFKBIZ	0.369918506
MEPCE	0.369900266
MAPKAP1	0.36967681
CCT4	0.369471771
TLE3	0.369278618
CNOT2	0.368318945
RANBP3	0.36772941
CSNK1G1	0.367226765
ENAH	0.366695141
DAZAP1	0.366567771
KHSRP	0.366540533
SUZ12	0.366382074
PAFAH1B1	0.366257239
UTP14A	0.365678196
CUL4B	0.365646969
CCT3	0.365294652
WDR44	0.365160478
IGF2BP3	0.364864229
CFLAR	0.364801354
SYK	0.364428539
RSPRY1	0.364423378
CARM1	0.364391707
DNAJC7	0.364295418
TRIM39	0.364161195
CPEB1	0.363958298
WDR26	0.363894608
ATP2B3	0.363457371
EIF4A1	0.363193938
TM9SF3	0.36245343
RARB	0.361763077
PELP1	0.361565173
PPP3CB	0.361285673
PLCL2	0.360954505
UBP1	0.360954039
MAPK8IP1	0.360269753
RBM15B	0.3595267
MTSS1	0.35951835
ZBTB4	0.359398143
WDR43	0.359299074
ERCC6L	0.357984451
MAP3K2	0.356467774
AKT3	0.356397553
RPL4	0.355971986
FCHO2	0.355801934
PPM1G	0.355542247
ZNF131	0.355238517
MAML1	0.355113553
SMARCA4	0.355063294
DLGAP3	0.355009095
BRINP2	0.354913348
HMBOX1	0.354637172
SATB2	0.354525683
SUGP1	0.354199243
EED	0.353225648
MEN1	0.353056336
HNRNPK	0.352984554
SYNCRIP	0.352250745
PAPD5	0.351979381
CMIP	0.351894393
GGA1	0.351859597
HNF1B	0.351645525
STRN4	0.351447393
HIVEP2	0.351109549
PHF1	0.35079463
BTK	0.349953216
CSK	0.349493528
PTGS2	0.349204871
UTP15	0.348991979
ITPKB	0.348480112
PRKAR1A	0.347869028
DLG3	0.347708619
PSMD3	0.347398477
RUNX1T1	0.347085374
SSBP3	0.346779222
LCK	0.346443076
DDX5	0.346351603
RBM6	0.346076379
GTPBP1	0.345872802
MATR3	0.345723518
MTMR1	0.344397031
FBXL5	0.344337546
NBEA	0.343984914
ACVR1B	0.343418148
RNF8	0.342593175
CSNK2A2	0.341631684
ACSL4	0.341608875
UBA2	0.341491954
LPHN2	0.341187683
ZRSR2	0.341180346
NKD1	0.340443999
SOCS7	0.339499868
ANAPC7	0.339457062
WHSC1L1	0.338937026
CAMTA1	0.338201618
NAV1	0.338184225
CBFA2T2	0.337860347
DLL1	0.33742968
RELA	0.337412939
PCDH11X	0.336668461
ATAD5	0.336306409
YAP1	0.336011441
SOX30	0.33489344
CACTIN	0.334771823
KPNA4	0.334654157
TBL1XR1	0.33441331
DDX6	0.334332699
PSMB2	0.332406658
TBL1X	0.332124186
CABP1	0.331866414
SLC9A6	0.331744021
CAPZA1	0.331009576
PYGO1	0.330991852
CHRM1	0.330929486
FLNA	0.3306378
CPEB3	0.330453431
F8	0.330250004
CNOT1	0.330129877
HDAC2	0.32999518
FZD7	0.32960981
MID2	0.329353087
IL1RAPL1	0.329078125
MAPRE1	0.329051053
LYPLA2	0.328873313
ZMAT2	0.328797545
RPTOR	0.328780679
DKC1	0.328683959
HTR1A	0.328532775
ZDHHC17	0.328247726
PRPF4B	0.328079543
LCORL	0.327662961
RCOR1	0.327429239
VPS26B	0.327139621
RAB30	0.326804551
H2AFY2	0.326577818
RASGRP2	0.326475837
AMD1	0.32638666
SERPING1	0.326308266
PPRC1	0.326250983
OPHN1	0.326183954
STOX2	0.325957195
CACNG2	0.325892962
SCML2	0.325606489
GID8	0.325417046
PPARD	0.325230448
RLIM	0.325025618
RER1	0.324792412
TTYH1	0.324522814
SETD5	0.323656116
LMNA	0.32358821
VDAC3	0.32357243
CYBB	0.32321543
SPRY2	0.322940751
NEUROD6	0.322684913
STC2	0.322477902
GSK3A	0.322471848
ZCCHC6	0.322337393
VDAC1	0.322060523
TOPBP1	0.32205887
CDK1	0.322019824
RND1	0.321750418
PRKDC	0.321499258
PURG	0.3214376
RPL17	0.321334241
MPPED2	0.321292401
PPP5C	0.321051631
RB1	0.320342682
BMP2	0.319129292
PDGFC	0.319094996
DDX3X	0.317970943
WDR1	0.317843692
EHMT1	0.317746167
YWHAG	0.317627177
NLK	0.3175863
CTDNEP1	0.317227964
SPARC	0.317197823
CCDC101	0.316273373
VSNL1	0.315758324
SCHIP1	0.315750243
FBN1	0.315437855
PSMA5	0.315136813
UBE2H	0.314674147
YWHAE	0.31424903
SH3KBP1	0.314246181
PPAP2B	0.313709631
JAG1	0.313618854
CBX1	0.313539691
TNFSF13B	0.313298246
SNRPA1	0.312994102
PSMA7	0.312346826
ELAVL1	0.311549478
INHBB	0.31135729
INO80B	0.311107899
JPH4	0.310570967
PYGO2	0.310086714
RPS13	0.309906672
SLC35G1	0.309684744
NKAP	0.309358283
UBE2K	0.309291097
RBM4	0.309263721
TXLNG	0.308730908
UCHL1	0.30860916
SCAF4	0.308577136
STMN2	0.308012833
MAX	0.307918673
UCK2	0.307689659
FZD4	0.30765187
RBM8A	0.307570248
CLTA	0.30740162
ZBTB8OS	0.307365264
DCUN1D5	0.307275203
CHM	0.307223703
CD79B	0.307165215
NANOG	0.306912505
TKTL1	0.306872408
ZFR	0.306760988
ANKRD46	0.306723007
SMARCA5	0.306717867
BHLHE40	0.306698375
RALA	0.306604141
NABP2	0.306603778
RPS3	0.306308599
DRD1	0.305800986
GNA11	0.305441626
HOXA3	0.305350629
FSCN1	0.305002396
CHRM4	0.304313192
SETD1A	0.304280384
SNAP25	0.304274456
WIZ	0.30424194
DLK2	0.304114071
BEND4	0.303884227
RC3H2	0.303502158
RPS18	0.303192881
SLC30A1	0.303179671
EMX2	0.302894341
GAB3	0.302651916
WNT9A	0.302609256
RPS10	0.302555498
SLC25A51	0.302352377
RSL24D1	0.301611476
MFAP3L	0.301072999
KCNIP4	0.301017552
TRIB2	0.300862271
CYP26B1	0.300858357
CDK16	0.300774817
WNT3	0.300731316
RAB33B	0.30071463
SPEN	0.300480097
CCR1	0.30025552
RBM5	0.30021749
LHX2	0.30012395
PAFAH1B2	0.299890312
ZNF407	0.299868728
CD86	0.299846417
MGAT1	0.299761023
SP7	0.299728922
METRNL	0.299631054
RNPS1	0.299412236
AMIGO1	0.299406932
NONO	0.299369978
HS6ST1	0.299317971
FAM168A	0.299227073
HDLBP	0.29899834
UBE2Z	0.298875076
CCND3	0.29882487
ZNF711	0.298652847
GRID2	0.298573357
LSM1	0.29853956
RAB10	0.298276214
OTUB1	0.298216256
RUSC2	0.29817372
RBX1	0.298024809
GDF6	0.297975076
ZC3H13	0.297797058
BTF3	0.297632629
SUPT5H	0.297409467
REEP1	0.297339169
GCH1	0.29732739
PPFIA3	0.29715701
PORCN	0.297108827
C6orf62	0.297026958
TMEM165	0.296863993
TAS2R13	0.296673529
TUBB4B	0.296526746
N4BP2L1	0.296306535
RIMS4	0.296188336
TOR1B	0.296181399
RPL14	0.296143915
LSM12	0.295769096
LARP6	0.295591426
SOCS6	0.295495649
CCNI	0.295398887
WHSC1	0.295208894
SIX1	0.294962912
RAB8A	0.294838356
NR2F2	0.294721175
CCND2	0.29448517
PHF13	0.294262916
RBM14-RBM4	0.294000701
CYFIP2	0.293780979
YPEL2	0.293710477
RABL2A	0.293590669
EMC7	0.293522655
C19orf66	0.293400528
GLIS2	0.293397211
RND3	0.293351555
DCUN1D3	0.293134437
RPL26	0.29277734
OR2H1	0.292746595
FOSL2	0.292544807
EFNB2	0.292534313
POLA1	0.292199133
MAOA	0.291837646
MYCN	0.291768135
ZBTB43	0.291473197
RAN	0.291424696
TRAPPC10	0.291282001
PUM1	0.290969244
CNBP	0.290931519
RENBP	0.290887207
FGF9	0.290486658
UBE3C	0.290274929
GINS3	0.289961654
IRAK1	0.289855442
RPL21	0.289389492
HNRNPF	0.289285423
RBPMS	0.289177528
IGFBP3	0.289073273
ACTB	0.288972705
HNRNPR	0.288858926
AMIGO2	0.288812566
OMG	0.28848935
GPR45	0.288322797
TSSK6	0.28811184
LIG4	0.288042775
SLC30A10	0.288009788
UBE2I	0.287919111
RPS24	0.287875037
DLX1	0.287802775
NUDT21	0.287596737
MSN	0.287438688
NUP153	0.287383766
TNRC6C	0.287200793
PSMC2	0.287138759
ONECUT2	0.287131937
ZNF219	0.287057533
RPL8	0.287017207
HOXC6	0.286905416
SET	0.286507974
NCOA2	0.285906685
MAGED2	0.285867838
CHTOP	0.285820351
DSCAM	0.285814245
GPM6A	0.285791353
KLF7	0.2851409
AKIRIN1	0.28510141
RAB4B	0.285099339
DMBX1	0.285074037
STAU1	0.285026507
CACYBP	0.284967241
WAS	0.28481352
GOLGA7	0.284660308
TAF5L	0.284657095
NRAS	0.284522061
EMC4	0.284508061
HVCN1	0.284417773
GABARAP	0.284410379
PAK7	0.284222568
AFF4	0.284097284
GID4	0.283976672
SLC6A1	0.283953504
GLI3	0.283747073
THAP1	0.283740514
PPP1R16B	0.28370269
YIPF5	0.283599911
KCNB1	0.283445989
UBE2L3	0.283391888
ARF4	0.283260171
RPL35A	0.283011264
RAB7A	0.282994733
CBLL1	0.282980037
TEX264	0.282855812
DDX42	0.282781738
CRX	0.282592379
C2orf27A	0.28252176
EPC1	0.282468129
RHEB	0.282315371
HDGFRP3	0.282183299
PLAGL1	0.282172326
MIER3	0.281901323
SLC25A19	0.281600615
SF1	0.281526534
FAM46C	0.281451246
ZBTB1	0.281436955
DUSP6	0.281429775
FLT3LG	0.281414326
RAP1B	0.281323301
SP1	0.281318393
RAP1A	0.281307261
SUFU	0.281253834
FAM110B	0.281247579
TPT1	0.281149285
C11orf30	0.281071125
KCNF1	0.280910575
CXorf56	0.280609649
LATS1	0.280389084
PCNA	0.280327558
CLIP3	0.280292431
BCL2L11	0.280246184
RPL23	0.280043387
HEATR1	0.279923834
SNRPC	0.279840239
SESN3	0.279792835
GNAZ	0.279724775
HMGB2	0.279714684
KDELR1	0.279600702
SRGAP3	0.27958528
ETF1	0.279579783
ATP2B1	0.279526351
CCT2	0.279366977
IL27	0.27936534
CSH1	0.279239293
PPP1R8	0.279133325
RPS19	0.279053362
TMEM204	0.278755434
HNRNPH1	0.278483349
SMU1	0.278313851
EIF4A3	0.278199776
ARPC4	0.278183766
RORB	0.278004021
CREBL2	0.277746146
ACTR3B	0.277559957
TNFSF12-TNFSF13	0.277084123
CREBRF	0.277081121
RUVBL1	0.277035781
UBE2D3	0.277023147
SOX10	0.276979149
NCS1	0.27689106
MEF2D	0.276644595
CDC5L	0.276360011
CLCF1	0.27634738
UBE2O	0.276119321
MDM4	0.275802976
DEGS1	0.275798941
C11orf57	0.275655867
TSC1	0.275626247
KLF9	0.275580765
AKAP5	0.27549837
DTX3	0.275413006
MPZ	0.275313501
IPO7	0.275280495
MAL2	0.275204157
TRAF6	0.27515613
PLK1	0.275125696
KMT2B	0.274983814
ZNF777	0.274933111
CXorf65	0.274926213
TNFSF12	0.274804435
BECN1	0.2747925
RPS11	0.274781319
CELF1	0.274601138
PDLIM4	0.27454147
UBQLN1	0.274511124
PSMB3	0.27426422
ARHGDIA	0.274123101
RBM17	0.274107423
EEF1G	0.274078006
MBD3	0.27380231
MRGBP	0.273589652
PCGF3	0.273435065
PRPS2	0.27327823
RPL13	0.273053999
SLC6A8	0.272903897
FOXF1	0.27281537
HIRA	0.272795239
VPS29	0.272781941
CCT6A	0.272763144
VAMP4	0.272493462
CPE	0.272424008
DPYSL5	0.272328409
SPIB	0.272266559
RNF113A	0.272255478
HSPA8	0.272164539
NUS1	0.272153354
FBXL17	0.272125799
USP8	0.27172597
BRD4	0.271599747
SLC39A10	0.271427676
PLAGL2	0.271389932
C4orf3	0.271283038
AP2S1	0.271186509
EDF1	0.270952498
UBE2E2	0.270907152
SIX2	0.270877739
RAX	0.270808919
LGI1	0.270767578
TIAL1	0.270739571
C14orf1	0.270731667
CHMP2A	0.270472941
WDR5	0.270411216
PSMA6	0.27026183
TMEM51	0.270235792
JAZF1	0.270078009
HAS2	0.269930248
AMMECR1L	0.269903823
TRAF3	0.269638545
TMEM9B	0.269469839
IL15	0.269399181
KIF26B	0.269271981
C20orf24	0.269120898
SMARCE1	0.268954581
ZNF24	0.26872816
KCNJ4	0.268712223
KCTD1	0.268701098
MEST	0.268650002
RUVBL2	0.268484713
SNAI2	0.268392189
BRS3	0.268375636
BGN	0.268221012
RPL38	0.268171246
PCNP	0.267961748
HIPK1	0.267855645
SHH	0.267793172
NKX2-5	0.267642929
RPL34	0.267467403
RDH10	0.267457344
LMO2	0.267427931
PAPD7	0.267362368
PRDM1	0.267356798
POU6F1	0.267279156
PITX1	0.267266009
CSNK2B	0.267164325
PURA	0.267126741
CD81	0.267056387
HMGB1	0.267014304
DESI2	0.266834157
FZR1	0.266833199
POLR2H	0.266794502
SAP130	0.266769921
GNA12	0.266659486
DCAF12L1	0.266558429
PSMB7	0.266501041
DCAF16	0.266382889
FGF7	0.266275792
TMEM115	0.26610924
HTR1D	0.266032453
ASB7	0.265765516
GPR34	0.265703877
TBX18	0.265698579
PSEN1	0.265648755
HNRNPUL2	0.265518693
KLHL9	0.265475371
RNF24	0.265420166
ZNF358	0.265388672
UBE2F	0.265378815
RXRB	0.265237609
PPIL3	0.265166462
FLRT3	0.265024927
NUTF2	0.264715968
RUNX2	0.264698043
SSTR1	0.264531382
ATP6V0B	0.264453014
RGS1	0.264306156
RPS5	0.264204633
LSM6	0.264174759
FNTA	0.263991215
PDGFA	0.263985128
CABP7	0.26372221
ZFAND5	0.263699954
COPS4	0.263371287
PNISR	0.263342341
CCT5	0.262963148
DLX2	0.262856761
GMDS	0.262775966
UBE2R2	0.262753349
SPIN1	0.262744963
COPS3	0.262708163
SEC24C	0.262695596
FHL1	0.262570595
ABHD17C	0.262532423
ETV1	0.262493919
UBE2D2	0.262465624
ATP1A1	0.262160238
UBQLN4	0.262005307
GPR85	0.261958016
HCAR1	0.261906288
HP1BP3	0.261813111
FTH1	0.261783822
SF3B14	0.261738821
PTBP1	0.261712126
SNRPE	0.261689486
FGF10	0.261577461
RS1	0.261441508
HLF	0.261403421
ACHE	0.261397292
BCR	0.261266675
ACTR3	0.261242348
SHISA2	0.261168552
FBXO11	0.261167095
ZNF146	0.261128663
DPYSL3	0.26101246
UBTD1	0.260994403
KPNB1	0.260945359
NAP1L1	0.260713585
PRPF19	0.260647133
ARPC3	0.26060336
HNRNPA0	0.260594013
FEZF2	0.260496103
TAF12	0.260306569
NUP62	0.260091642
B2M	0.259992809
RPS7	0.259943375
RPL10	0.25983175
CORO1C	0.259801292
CELF2	0.259762027
NUFIP2	0.259481555
COPB1	0.259148906
PKN2	0.259059994
PTPLB	0.259040988
CCZ1	0.258983098
WDR20	0.258981182
LRFN3	0.25894184
ADCY2	0.25891727
TMEM39A	0.258908228
PKNOX1	0.258554951
NCDN	0.258535251
RIC8B	0.258516889
MSI1	0.258487801
CTLA4	0.258123194
CHAMP1	0.258064801
LHFPL4	0.258010316
SCN2A	0.257771077
TOPORS	0.257764994
EIF4A2	0.257692471
PIK3CD	0.25745727
CAMKV	0.257438197
PPAPDC2	0.257403031
PPME1	0.257343139
FAM49B	0.25716017
CHD7	0.257032083
CLK2	0.256987643
SCN3A	0.256853904
SNRK	0.256787796
PTP4A1	0.256674036
RHOG	0.256666041
PNRC1	0.256582197
HOMER1	0.256456052
EFNA1	0.256247233
NAP1L2	0.256217392
CNIH2	0.256212215
HPN	0.256156459
CALM1	0.256014659
CEMP1	0.255847146
EIF1AX	0.255837318
CHRM3	0.255745607
PATZ1	0.255530233
RET	0.25543862
RAB3A	0.255111739
DNMT1	0.255094175
MOSPD1	0.254982512
COPRS	0.254981333
ZNF629	0.254929907
YPEL1	0.254727596
PITPNM2	0.25471712
RAD51	0.254278195
SLC35F3	0.254243668
CDKN1B	0.254209717
CXCR2	0.254158413
CBX8	0.254133364
PGF	0.2541079
NCBP1	0.254078257
FBXO45	0.254024918
CD40LG	0.254017454
NAA50	0.253991966
SYNGR1	0.253963983
BCL11A	0.253959391
DENR	0.253853573
RAB9A	0.253696494
SRSF1	0.253691037
KLHL18	0.253644476
PARK7	0.253631168
CNIH1	0.253569729
GNB1	0.253558404
ATOH8	0.253487997
TM4SF2	0.253016951
HOXA11	0.252931314
FAM19A1	0.252900473
PLP1	0.252831247
RBM33	0.252780251
DCAF7	0.252676724
WIBG	0.252535822
RBM38	0.252521558
FAM122A	0.252480848
MAPK14	0.25247862
CHMP4B	0.252442126
HDAC4	0.252436808
ATP1B1	0.252436266
IKZF3	0.252331453
ZBTB20	0.252242875
PMP22	0.252143745
VGLL2	0.252105729
MAPKAPK2	0.252076453
RGS19	0.252003062
CAMSAP3	0.251939917
SP2	0.251936014
TBCEL	0.25186199
PABPC5	0.251832235
DDA1	0.251749449
PHYHIP	0.251709904
CHMP1B	0.251664557
NAP1L5	0.251469872
TAF11	0.251459061
CLDN15	0.251388697
ZBTB12	0.251243606
SNRNP200	0.251216436
TBR1	0.251181014
B4GALT6	0.251139968
IGFBP2	0.250996659
SERPINC1	0.250939241
STAT3	0.250908344
YTHDF2	0.250821995
EBP	0.25066718
RAC2	0.250643926
SMARCB1	0.250607684
TOX3	0.250534069
TOB1	0.250421686
RP2	0.250369404
L1CAM	0.250283797
TSC22D4	0.250268478
CDKN2AIP	0.250090368
THRB	0.250015042
NRF1	0.249824368
CLDN12	0.24974504
PA2G4	0.249656966
BCAP31	0.249654934
MAP2K4	0.249600142
WTAP	0.249597759
EFNA5	0.249507742
TRIM8	0.24950288
ZNF691	0.249492102
RPL9	0.249397707
RPS4X	0.249334087
LIN52	0.249323152
ZBTB44	0.249312017
RPL7	0.249302327
APC2	0.24918909
DDX39B	0.249131953
RPL5	0.249073506
PFDN6	0.249057192
RHOXF1	0.249032158
GABRB3	0.248901911
CCNK	0.248729184
BCL2L1	0.248585571
RPS23	0.248522022
E2F3	0.248481616
OR3A3	0.248412059
ASB9	0.248355168
KAT6B	0.24825682
FAM19A4	0.248201342
TAC1	0.248190754
CADM3	0.248177385
AKT2	0.248172608
CHD6	0.248042445
KCNJ3	0.248040221
STAT5B	0.248038479
USF2	0.247934434
IGFBP5	0.247894061
TXLNA	0.247733736
PIAS4	0.24769188
CCNA2	0.24768932
PAXIP1	0.247483288
TRAM2	0.247311673
PPP1CB	0.247215412
ANKRD52	0.247045543
DUSP14	0.246800428
MYL3	0.24643573
PHF23	0.246376299
CNOT11	0.246294417
CELF5	0.246244771
TNFSF8	0.246175149
MACF1	0.24614737
UBE2D1	0.246022961
POLR2A	0.24593744
CACNG3	0.24588235
MBD2	0.245814536
FGF17	0.24575215
ERH	0.245674779
ZNF512B	0.245487451
DPP10	0.245413252
CMTM8	0.245397425
PAQR9	0.245326467
UFD1L	0.245164992
DBP	0.245100495
NOTCH1	0.245076785
PHC3	0.245059405
EFTUD2	0.245036924
AHR	0.24492802
GABRG3	0.244855429
NXPH2	0.244768313
NPM3	0.244767408
P4HB	0.244659621
KIR3DL2	0.24460829
VKORC1L1	0.244455356
NOP10	0.24442972
CDC34	0.244359521
F9	0.244343347
FLRT2	0.244311391
PFDN1	0.244233823
PHF5A	0.244212708
WDR7	0.244204883
CLTC	0.244067524
GABRA2	0.243818947
TBPL1	0.243716445
PSMC1	0.243702505
DR1	0.243680778
SPI1	0.243613353
GCM1	0.243603024
TCF21	0.243441249
SNRPD1	0.243273998
NR0B1	0.243257789
YTHDF1	0.243257242
RPL6	0.243112475
AC129492.6	0.242962741
TMEM164	0.2429494
HPRT1	0.242797175
IL23A	0.242770486
DHX9	0.242731917
C7orf60	0.242401877
PARD6B	0.242304484
CSDE1	0.242215242
DUSP2	0.242199324
GIMAP1	0.24218727
ZBTB2	0.242165448
CDC73	0.24214942
ARIH2OS	0.241991538
RPL23A	0.241959108
CBWD2	0.241866053
YPEL5	0.241839472
GGNBP2	0.241790807
PACSIN1	0.241625962
NR4A2	0.241622723
NLGN2	0.241315778
FAM120AOS	0.241288354
NUDT3	0.241242736
KCNN2	0.241141954
FAM192A	0.241012492
TTC7B	0.240976865
CCR4	0.240937662
RBM14	0.240930698
ITM2A	0.240824818
KIT	0.240808566
DIO3	0.24069681
MAGEB10	0.240630123
MRAS	0.24049033
MLLT3	0.240353835
PRDM16	0.240231247
EMD	0.240086631
PRKAR2B	0.240021401
NRN1	0.239989406
TBX5	0.239852345
PGP	0.239852187
ENC1	0.239827353
ZIC3	0.239826528
PLEKHF2	0.239774096
IL7	0.239709722
ERP29	0.239657633
OCRL	0.239609454
GPC3	0.239463129
ATOH1	0.239360073
RBM22	0.239343219
RPS14	0.239302413
SORT1	0.239163744
CRHBP	0.239030847
MKL2	0.239007063
DNAJC5	0.238981915
SLC25A5	0.238956956
POMZP3	0.23894755
OR1D5	0.238930236
SLC17A7	0.23889561
EGR3	0.238817117
BZW2	0.238726354
DCTN2	0.238576678
GATA1	0.238543815
FGFR2	0.238511228
ILKAP	0.238433619
SNRPD3	0.238411223
AGPAT3	0.238406536
CAND1	0.238320338
SERTAD2	0.238241084
QKI	0.238212731
APOOL	0.238209161
FANCB	0.238063072
CREB1	0.238003879
PACS1	0.237662339
SEPT8	0.237598102
ARMCX2	0.237428923
SMAD7	0.237290178
SNRPG	0.23722718
MBD5	0.237216741
PBDC1	0.237184535
DKFZP761J1410	0.237132031
PEG10	0.236994504
NAB2	0.236955501
EIF5A	0.236922508
BTBD2	0.236847824
AKAP4	0.23684032
TFAP2B	0.236705067
CBLN1	0.236642954
NSD1	0.236632354
ETS2	0.236557757
GRPEL1	0.236531609
MGAT5	0.236520745
LEF1	0.236509234
MESDC2	0.236477593
FAM160A2	0.236459018
DCUN1D1	0.236153206
TMEM108	0.236139109
TRPS1	0.236009696
WARS	0.235990672
FAM120A	0.235986609
TAL1	0.235872087
CAMK1D	0.235787376
SPOP	0.23577775
PHOX2B	0.235673627
NXPH3	0.235616524
VAMP2	0.235609672
LPAR3	0.235089291
CCNJ	0.235020838
CASKIN1	0.235017456
PTMS	0.235012119
SOX9	0.234857919
CSNK1A1	0.234828663
GLA	0.234816363
CADM1	0.234758379
RELL1	0.234745094
POU3F4	0.234684562
RNF111	0.234672293
FXN	0.234527925
SAE1	0.234385791
KLHDC3	0.234330255
EEF1A1	0.23406101
FNIP2	0.233930725
OR2T34	0.233910497
DUSP3	0.233858461
SKI	0.233765858
POFUT1	0.23370456
HOXA5	0.233697441
SOX2	0.233653243
RPL3	0.233611656
PRPS1	0.233608548
PPAPDC3	0.233573786
H2AFJ	0.233538642
RAB18	0.233262662
IRF2BP1	0.233114953
RPL27A	0.233086821
HNRNPA3	0.233058599
UBE2E1	0.233053802
R3HDM2	0.233043406
DYRK2	0.232982796
FOXO1	0.232827036
KCNH3	0.232701699
ZGLP1	0.23267661
JPH3	0.232530299
SHOC2	0.232436078
B4GALT5	0.232396066
ARHGAP36	0.232363283
FGF4	0.232354878
NEUROG2	0.23233998
SGTB	0.232242802
RNF144A	0.232224517
POU5F1	0.232166737
HNRNPU	0.232021496
STIP1	0.231815828
